sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;cumulative_trial;trial;true_sequence;obs_sequence;accuracy;RT;MT;score
1;2018-03-02;15:58:23.486000;type1;training;train;1;1;1 2 - 2 - 2 - 4 - 2 3;2 - 1 - 2 - 2;0.20000000000000001;2688.709;1070.963;0.934
1;2018-03-02;15:58:23.486000;type1;training;train;2;2;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 - 2 3;1.0;474.599;3404.252;0.294
1;2018-03-02;15:58:23.486000;type1;training;train;3;3;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 - 2 3;1.0;777.923;2513.943;0.398
1;2018-03-02;15:58:23.486000;type1;training;train;4;4;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 - 2 3;1.0;983.358;2771.300;0.361
1;2018-03-02;15:58:23.486000;type1;training;train;5;4;1 2 - 2 - 2 - 4 - 2 3;1 - 2 - 2 - 2 - 2 3;0.59999999999999998;864.762;1952.050;0.512
1;2018-03-02;15:58:23.486000;type1;training;train;6;4;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 3 4 - 3;0.59999999999999998;670.051;3014.751;0.332
1;2018-03-02;15:58:23.486000;type1;training;train;7;4;1 2 - 2 - 2 - 4 - 2 3;2 - 1 - 2 - 2 - 3;0.20000000000000001;720.663;2110.698;0.474
1;2018-03-02;15:58:23.486000;type1;training;train;8;5;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 - 2 3;1.0;774.761;2059.587;0.486
1;2018-03-02;15:58:23.486000;type1;training;train;9;6;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 - 2 3;1.0;581.760;2888.055;0.346
1;2018-03-02;15:58:23.486000;type1;training;train;1;1;2 - 1 4 - 2 - 1 - 1 4;2 - 1 - 4 - 2 - 1;0.20000000000000001;1491.356;2484.025;0.403
1;2018-03-02;15:58:23.486000;type1;training;train;2;2;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1 4;1.0;898.945;2262.766;0.442
1;2018-03-02;15:58:23.486000;type1;training;train;3;3;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1 4;1.0;973.740;2428.492;0.412
1;2018-03-02;15:58:23.486000;type1;training;train;4;4;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1 4;1.0;940.917;2218.003;0.451
1;2018-03-02;15:58:23.486000;type1;training;train;5;5;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1 4;1.0;723.387;1831.982;0.546
1;2018-03-02;15:58:23.486000;type1;training;train;6;5;2 - 1 4 - 2 - 1 - 1 4;2 - 1 2 4 - 2 - 1 - 1 4;0.80000000000000004;680.978;2457.375;0.407
1;2018-03-02;15:58:23.486000;type1;training;train;7;6;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1 4;1.0;874.316;2162.600;0.462
1;2018-03-02;15:58:23.486000;type1;training;train;1;1;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 3 - 2;0.59999999999999998;1320.667;2592.697;0.386
1;2018-03-02;15:58:23.486000;type1;training;train;2;1;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 3 - 2;0.59999999999999998;1286.674;2351.637;0.425
1;2018-03-02;15:58:23.486000;type1;training;train;3;1;2 - 4 - 4 - 2 3 - 1 4;2 - 1 4 - 4 - 2 3 - 1 4;0.80000000000000004;916.412;2928.506;0.341
1;2018-03-02;15:58:23.486000;type1;training;train;4;2;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;868.158;2259.045;0.443
1;2018-03-02;15:58:23.486000;type1;training;train;5;3;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;1000.225;2236.140;0.447
1;2018-03-02;15:58:23.486000;type1;training;train;6;3;2 - 4 - 4 - 2 3 - 1 4;2 - 1 4 - 4 - 2 3 - 1 4;0.80000000000000004;1191.904;2666.138;0.375
1;2018-03-02;15:58:23.486000;type1;training;train;7;4;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;998.302;2766.618;0.361
1;2018-03-02;15:58:23.486000;type1;training;train;8;5;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;1040.761;2497.203;0.400
1;2018-03-02;15:58:23.486000;type1;training;train;9;6;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;973.713;1952.367;0.512
1;2018-03-02;15:58:23.486000;type1;training;train;1;1;3 4 - 1 3 - 3 4 - 2 - 2;4 - 3 - 3 - 1;0.0;1378.322;2164.168;0.462
1;2018-03-02;15:58:23.486000;type1;training;train;2;1;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 2 - 3 - 1 - 3;0.20000000000000001;1202.578;1926.463;0.519
1;2018-03-02;15:58:23.486000;type1;training;train;3;1;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 3 - 1 - 4 - 3;0.20000000000000001;1213.052;2786.901;0.359
1;2018-03-02;15:58:23.486000;type1;training;train;4;1;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 3 - 1 - 3 4 - 2;0.40000000000000002;972.305;2971.996;0.336
1;2018-03-02;15:58:23.486000;type1;training;train;5;2;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 3 4 - 2 - 2;1.0;847.991;2937.543;0.340
1;2018-03-02;15:58:23.486000;type1;training;train;6;2;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 4 - 2 - 3;0.59999999999999998;1064.969;2806.573;0.356
1;2018-03-02;15:58:23.486000;type1;training;train;7;2;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 2 - 2 3 - 2 - 4;0.40000000000000002;807.029;2852.848;0.351
1;2018-03-02;15:58:23.486000;type1;training;train;8;3;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 3 4 - 2 - 2;1.0;877.502;3096.401;0.323
1;2018-03-02;15:58:23.486000;type1;training;train;9;3;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 3 4 - 2 - 2 2;0.80000000000000004;1128.117;2521.463;0.397
1;2018-03-02;15:58:23.486000;type1;training;train;10;3;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 2 3 - 3 4 - 2 2 - 2;0.59999999999999998;1435.604;2296.966;0.435
1;2018-03-02;15:58:23.486000;type1;training;train;11;3;3 4 - 1 3 - 3 4 - 2 - 2;2 3 4 - 1 3 - 1 - 3 4 - 2;0.40000000000000002;802.586;3065.517;0.326
1;2018-03-02;15:58:23.486000;type1;training;train;12;4;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 3 4 - 2 - 2;1.0;745.545;2172.541;0.460
1;2018-03-02;15:58:23.486000;type1;training;train;13;5;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 3 4 - 2 - 2;1.0;821.052;1963.926;0.509
1;2018-03-02;15:58:23.486000;type1;training;train;14;6;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 3 4 - 2 - 2;1.0;685.948;2028.813;0.493
